class,khaiii_text
협박 대화,지금 스스로 죽이 애원 죽 죽 사건 휘말리 진짜 죽이 정말 잘못 선택 죽 가족 죽이 정말 잘못 선택 없 선택 못 가족 모조리 죽이 선택 못 도와주 그냥 다 죽이 없 제발 도와주
협박 대화,길동 경찰서 마 트 폭발물 설치 똑바로 들 더 얘기 장난 전화 걸 말시 마 트 폭발물 터지 다 죽 장난 전화 업무 방해죄 해당 판단 달리 길동 경찰서 폭발물 터지 꽤 재미있 선생 진정 이야기 경고 말
기타 괴롭힘 대화,되 귀엽 알 작 남자 첨 보 놀리 재미없 지영 키 이 재 안 군대 안 가 좋 작 보태 있 난쟁 장 가가 하 희망 가지 보 더 이상 키 크 수술 있 엄마 안 하 나라 하 키 어찌 살 제발 그 괴롭히
갈취 대화,말 이리 오 옷 좋 보이 돈 있 돈 없 뒤지 나오 죽 오늘 피시방 콜 콜 마지막 기회 있 다 내놓 정말 없
갈취 대화,날 너무 뜨겁 회사 선크림 팔 손등 바르 보 진짜 안 선크림 필요 알아보 바르 보 바르 지 짜 성분 좋 다 좋 음 성분 좋 하 좋 같 피부 맞 피부 따 끔거 리 이번 진 짜 열심히 연구 만들 피부 많이 가보 많이 많이 파 안녕히 계 세 돈 안내 바르 보 돈 내 팔 바르 먼저 바르 하 먼저 권유 사 강매 갈취 모르 안 사 되 말 하 있 모르 바르 탓 빨리 바르 사 진짜 어이 없 사람 텐 이렇 갈취 화딱지
직장 내 괴롭힘 대화,이틀 뒤 가 나 음식점 예약 좀 하 저녁 가 나 음식점 남자 친구 부모 인사 드리 예약 힘들 수진 하 팀장 말 프로젝트 정 신없 사회생활 안 하 티 너무 내 프로젝트 백날 잘 하 위 상사 잘 보이 하 팀 프로젝트 이번 말 이상 하 이번 매일 심부름 시키 말 실수 말씀 예약 꼭 하 이러 하 도 욕먹 알 하 알
기타 괴롭힘 대화,손 아이스커피 잔 나오 아이스커피 맛있 들 아가씨 아이스 시키 없 분명 오늘 날 더우 아이스 시키 그 렇 명희 기억 없 아가씨 잘못 알 오늘 손 주문 확실히 기억 아가씨 왜 이렇 융통 없이 굴 그냥 잘못 주 문 받 하 되 어휴 융통 없 그냥 마시
기타 괴롭힘 대화,경비 아저씨 차 경고장 붙이 살 아직 차 모르 경고장 붙이 입주민 정하 주차 자리 통로 계속 주차 입주민 항의 가 계속 들어오 항상 대 자리 없 내 차 하 얼마짜 줄 알 수차례 인터폰 드리 경고장 올리 며칠 그대로 인지라 아파트 규약 맞추 어쩌 없 그렇 본드 붙이 깨끗이 원상 복구 세차해 그 러 없 내 관리비 월급 받 주제 안 붙이 되 지금 가요 말씀 과 하 기다리 이름 지금 가 이제 끝
기타 괴롭힘 대화,할인 확인 아까 사람 할인 손 고객 고객 차별 등급 운영 겁 점장 불러오 손 점 장 해결 점장 불러오 진정 하
갈취 대화,세금 계산 보내 메일 수치 다르 해 괜찮 업체 도 다 회사 비밀 하 그 성의 표시 정 도 생각 많이 하 정도 되 너무 많 김 사장 직접 말 없 국세청 걸리 알 더 기한 주
갈취 대화,드 말보 레 드 여기 사장 없 사장 지금 안 계세 찾 지금 말 잘 들 주머니 있 돈 다 담 이러 입 닥치 빨리 사람 오 전 돈 쓸 담 살리 제발 제대로 안 하 패 빨리빨리 하 여기 진작 이렇 빨리 주 경찰 신 고하 알
직장 내 괴롭힘 대화,대리 오늘 도대체 하 창고 정리 하 바닥 청소 열심히 하 복사 안 하 아까 하 안 하 아까 말 못 듣 귀 지금 하 물 새로 받아오 먹 하
협박 대화,네 전화 주 애 지우 개 훔치 가지 애 면박 주 댁 따님 훔치 훔치 확인 경찰 부르 너무 심하 같 서 꾸중 마디 겁 구멍가게 물건 하 그러 애 맨날 훔치 애 있 되 애 울 하교 각오 좋 애 애 끌어들이 애 울 들어오 그냥 못 넘어가 애 죽이 이러 곤란 교육 차원 마디 하 되 애 보이 죽이 아들 죽 보 반성 남 애 함부로 울리 되
갈취 대화,형 형 돈 좀 있 젓 형 말 있 형 있 돈 없 형 에 잘 생기 형 형 돈 좀 주 안 때리 좀 주 돈 많 생기 진짜 현금 없 진짜 놓 주 에 지갑 주머니 있 지갑 뒤지 되 뒤지 나오 그냥 주 없 송 하 진짜 지갑 열 말 이러 우습 지갑 돈 없
직장 내 괴롭힘 대화,김사원 대리 그러 오늘 제출 하 하 일 많 돕와 르 못 하 도 하 일 많 얼굴 맞대 일 감당 있 감당 있 하 하
갈취 대화,휴대폰 좀 빌리 안 지난달 휴대폰 요금 너무 많이 나오 엄마 혼나 알 닥치 폰 내놓 폰 주 결제 그러 게임 캐시 다 떨어지 충전 좀 안 진 짜 맞 그냥 주 래 진짜 더 결제 들키 휴대폰 뺏기 모르 오늘 왜 이렇 말 많 안 내놓 제발
갈취 대화,잠깐 학생 부르 왜 부르 지갑 잃어버리 돈 없 돈 좀 있 현금 없 주머니 있 열 안 판단 내놓 제돈 이리 안 주 맞 정말 제돈
갈취 대화,가져오 정도 폰 최선 최선 다 하 맞 제발 때리 마 내일 배 만들 생각 말 안 되
기타 괴롭힘 대화,이마빡 빛 나 만 때리 흑 왜 아프 빛 나 두드리 가만히 있 퍽퍽 두드리 열리 빛 나 열 리 소리 저리 치우 왜 그 냐 친구 사이 퍽퍽퍽 미치 광 나 이마빡 예쁘 흑흑흑
직장 내 괴롭힘 대화,정수기 물탱크 갈 싫 물 마시 부서 유일 남자 직원 일 직원 못 물탱크 갈 짐 나르 부당 겁 남자 직원 힘 세 먹 양 여직원 더 많 정수기 안 쓰 니 물 싸 다니 그러 팀 잘 어울리 있 왕
협박 대화,민수 남자 제사 맞 그러 선생 생기 일 그냥 선생 콩팥 정도 가져가 장난치시 장난 너무 심하 어린애 그렇 상황 판단 못 하 사진 보내 주 보 보 장난 그러 신고 신고 신고 알 신고 원하 있 최대한 하 선생 해치 말 가지 하 그냥 끝나 일 그렇 하 하
갈취 대화,저번 친구 지갑 돈 훔치 말 지금 꺼내 다 불 전 주 보 주 되 다 불 가져가 돈 주인 사람 얼마 되 주 지금 없 확 불 리 보다 내일 줄
기타 괴롭힘 대화,어유 파리 꼬이 계란 썩 냄새 나냐 사람 나 냄새 하 원래 새끼 깝죽거리 내버리 뜨끔 싸우 우쭈쭈 욕먹 화나 지랄 새끼 존나 맘 안 들
협박 대화,좀 제발 그만 따르 다니 부탁 만나 찾아가 되 냐 헤어지 스토 킹 아직 안 헤어지 일방 말 제발 좀 놔주 안 되 언제 괴롭히 다 사랑 집 비밀 번호 들어가 보 남자 친구 정도 못 보 집 남자 숨기 제발 그만 좀 하 정신병 의심병 헤어지 정신병 말 다 하 다리 부러뜨리 바람 못 피 일로
기타 괴롭힘 대화,거 지 집 판자촌 판자촌 위 다 쓰러지 집 있 귀신 집 다 허물 새끼 귀신 집 무너지 집 천장 구멍 뚫리 춥 집 이불 둘둘 용 얼 죽 날 춥 걱정 못 망발 거지 친구 핫팩 주 춥 있 낫 크 배려심 절 쓰 있 저녁때 쓰 있 내일 쓰 주 꼭 가져가 손 시리 하 새끼 꼴 자존심 있 얼굴 빨개지 거지새 못 면 하
기타 괴롭힘 대화,여보 생활비 좀 주 마누라 날 입 열 돈타령 애 학원 비 괜히 애 핑계 대지 마 입 쓰 없 거짓말 마 아주 뱃살 출렁출렁 여 그러 생활비 좀 주 못 주 뱃살 치 더 이상 보 싫 못 주 정말 먹 쓰 없 믿 저리 가 여편네 정떨어
